world	regime	comparison	direction	left	right	t	truth	rank	matchedL	cold_log2	candidate_log2	left_live	right_live	left_minus_right_bits	w_before	w_after	hazard	left_odds_before	left_odds_after	left_cap_after	left_clipped	right_odds_before	right_odds_after	right_cap_after	right_clipped
216	moved_mid	witnessed_vs_witness	help	h10l5	witness	12375	128	4	1	-4.3461187136304815	-15.946576581440837	-10.310202836268894	-13.654170528696223	3.343967692427329	6.499150641114604	-5.3044056842305825	2^-16	5.970086135255941	-5.630394190911618	5.0	0	9.635177994019058	-1.9653075252257501		0
216	moved_mid	witnessed_vs_witness	harm	h10l5	witness	8608	26	3	2	-4.943992278837841	-1.7850411170030203	-3.8186812843373175	-2.622531428117746	-1.1961498562195714	6.109042273821261	9.077085864599168	2^-16	-2.5143528413758958	0.644541892693617	10.0	0	0.023631527783437842	3.182360819584072		0
217	switched	tight_vs_loose	help	h5l5	h16l5	8918	95	1	5	-2.3113217494277833	-7.430893733963587	-4.014233654806729	-7.331539286403001	3.3173056315962723	3.650555121640347	-1.5830967104467175	2^-16	1.315345836114711	-3.8042497381940965	5.0	0	8.884491484898628	3.7645982576988715	5.0	0
217	switched	tight_vs_loose	harm	h5l5	h16l5	9841	191	3	3	-5.752256645300067	-1.3120018270746039	-5.625054943864031	-2.759347236253293	-2.865707707610738	1.1629576704378626	5.566870061462142	2^-16	-7.8052939915822925	-3.3650633238713037	5.0	0	-0.9819774434798136	3.4580134231719044	16.0	0
217	switched	witnessed_vs_fixed	help	h10l5	h5l5	10161	253	3	2	-4.865825841450688	-1.2237285439528582	-1.4475338698511517	-3.4309708532254835	1.9834369833743317	1.5745629206978946	5.167455126923915	2^-16	2.4334183504082545	6.074009805487706	10.0	0	-2.521470171015026	1.1205572462438789	5.0	0
217	switched	witnessed_vs_fixed	harm	h10l5	h5l5	8918	95	1	5	-2.3113217494277833	-7.430893733963587	-6.8760718607138	-4.014233654806729	-2.8618382059070715	3.650555121640347	-1.5830967104467175	2^-16	6.149665579761281	1.0300266263909978	5.0	0	1.315345836114711	-3.8042497381940965	5.0	0
217	switched	witnessed_vs_witness	help	h10l5	witness	10290	17	2	2	-0.751667029352073	-4.061838993926307	-2.3969234096214027	-3.835077492976845	1.4381540833554425	-0.43681671905795727	-3.7333381611616305	2^-16	1.6361098952006021	-1.6740909817574208	5.0	0	5.683711749943441	2.3734036980945117		0
217	switched	witnessed_vs_witness	harm	h10l5	witness	9841	191	3	3	-5.752256645300067	-1.3120018270746039	-4.078282163312839	-2.7125114886031243	-1.3657706747097151	1.1629576704378626	5.566870061462142	2^-16	-3.079361701539498	1.3608145627461152	10.0	0	-0.9007058476407357	3.539270999942503		0
217	moved_mid	tight_vs_loose	help	h5l5	h16l5	15943	113	4	2	-5.967648756939288	-14.276409592311706	-6.468530616612465	-12.406067694790654	5.937537078178188	-0.14430618382476568	-8.44855745095266	2^-16	-1.262091992297006	-9.570874870562172	5.0	0	6.882669877391949	-1.4261211640649936	5.0	0
217	moved_mid	tight_vs_loose	harm	h5l5	h16l5	15811	241	2	3	-4.6630347028406245	-1.4029390126503944	-4.499849134837842	-1.6609244899594215	-2.838924644878421	8.593165461666553	11.584724731179703	2^-16	-6.142597623367493	-2.882526932332649	5.0	0	2.1601462883152425	5.419277623349233	16.0	0
217	moved_mid	witnessed_vs_fixed	help	h10l5	h5l5	12551	211	3	7	-5.1848875399226655	-0.9506410897521125	-1.3309023416336934	-3.8030703661766116	2.4721680245429183	4.510446700898423	8.6037416916659	2^-16	1.626009228707623	5.858955417465323	10.0	0	-3.3357917986975	0.8983916029231909	5.0	0
217	moved_mid	witnessed_vs_fixed	harm	h10l5	h5l5	11501	228	4	1	-5.294591710871617	-16.09577731805731	-14.627432684628598	-10.31265080013231	-4.314781884496288	8.997855679179146	-2.0845129179808923	2^-16	9.977610173024281	-0.8236098867179737	5.0	0	4.999273717041489	-5.801934298680523	5.0	0
217	moved_mid	witnessed_vs_witness	help	h10l5	witness	12499	180	4	2	-6.250956475683188	-14.338781768107433	-8.65786454237221	-11.834414331172693	3.176549788800484	-0.0316452002042798	-8.118481580122141	2^-16	2.1338650619951816	-5.9539825994953475	5.0	0	5.8327603169456905	-2.2550916010267095		0
217	moved_mid	witnessed_vs_witness	harm	h10l5	witness	15976	226	2	5	-4.178967406517905	-1.2349853869076801	-3.326989635629157	-1.9617525510600078	-1.3652370845691493	-2.6964002581175723	0.33184426955882645	2^-10	-2.8713399289825445	0.06975164293242492	10.0	0	0.26125643958675265	3.1908929192474287		0
218	switched	tight_vs_loose	help	h5l5	h16l5	9063	145	3	4	-1.836531185239684	-5.901995867580743	-2.7846641062441106	-5.809351566710172	3.024687460466061	1.5147150914659737	-2.5980844374833967	2^-16	0.0709674194031225	-3.994520658003586	5.0	0	7.884875272026163	3.8190778301371946	5.0	0
218	switched	tight_vs_loose	harm	h5l5	h16l5	9557	198	3	1	-6.377558304655085	-2.518419532018442	-5.8059047800399926	-2.7514943560151495	-3.054410424024843	-2.0550110581498084	1.868346810054016	2^-10	-4.743558458752177	-0.8865922534582251	5.0	0	2.3899434792172465	6.144305061530952	16.0	0
218	switched	witnessed_vs_fixed	help	h10l5	h5l5	9557	198	3	1	-6.377558304655085	-2.518419532018442	-3.356038726309019	-5.8059047800399926	2.4498660537309735	-2.0550110581498084	1.868346810054016	2^-10	0.1557869236625095	3.990917513452784	10.0	0	-4.743558458752177	-0.8865922534582251	5.0	0
218	switched	witnessed_vs_fixed	harm	h10l5	h5l5	9063	145	3	4	-1.836531185239684	-5.901995867580743	-5.328610304485838	-2.7846641062441106	-2.543946198241727	1.5147150914659737	-2.5980844374833967	2^-16	4.966198934380048	0.9006711386000766	5.0	0	0.0709674194031225	-3.994520658003586	5.0	0
