world	regime	mode	high	low	early4096_bits	whole16384_bits	tail8192_bits	admission_next_t	max_odds_before	max_odds_after	odds_at_move	clips	low_clips	high_clips	slow_count	fast_count	minimum_prefix_bits	maximum_drawdown_bits
221	moved_mid	h12l2	12	2	746.823964792445	2953.1517083165254	1116.2842780698331	157	12.0	12.0	11.912515144802397	2600	41	2559	14123	2104	-0.6480706912333885	11.911456235992318
221	moved_mid	h12l3	12	3	747.046287571262	2957.162414661576	1119.3274396924473	157	12.0	12.0	11.912515144802397	2606	28	2578	14123	2104	-0.7764284267897279	11.911456235992318
221	moved_mid	h12l4	12	4	747.046287571262	2958.681748240594	1120.6319487144485	157	12.0	12.0	11.912515144802397	2609	15	2594	14123	2104	-0.7764284267897279	11.911456235992318
221	moved_mid	h12l5	12	5	747.046287571262	2959.0705274435795	1120.9843838763647	157	12.0	12.0	11.912515144802397	2603	3	2600	14123	2104	-0.7764284267897279	11.911456235992318
221	moved_mid	h16l2	16	2	746.6385395993658	2950.723608972633	1114.3177757381638	157	15.923548264615775	15.923548264615775	13.823977367890848	59	59	0	14123	2104	-0.6480706912333885	14.102273819973988
221	moved_mid	h16l3	16	3	747.1083298341856	2956.1241659336474	1118.4361469840487	157	15.923548264615775	15.923548264615775	13.823992158318392	40	40	0	14123	2104	-0.7764284267897279	14.102273819973988
221	moved_mid	h16l4	16	4	747.1319136571848	2958.3702821178485	1120.2325002543137	157	15.923548264615775	15.923548264615775	13.823999553589024	29	29	0	14123	2104	-0.7764284267897279	14.102273819973988
221	moved_mid	h16l5	16	5	747.1319136571848	2959.20536365496	1120.913319835732	157	15.923548264615775	15.923548264615775	13.824003219770331	16	16	0	14123	2104	-0.7764284267897279	14.102273819973988
221	unrelated	slow			0.0	0.0	0.0		0.0	0.0	0.0	0	0	0	0	0	0.0	0.0
221	unrelated	fast			0.0	0.0	0.0		0.0	0.0	0.0	0	0	0	0	0	0.0	0.0
221	unrelated	witness			0.0	0.0	0.0		0.0	0.0	0.0	0	0	0	0	0	0.0	0.0
221	unrelated	h5l2	5	2	0.0	0.0	0.0		0.0	0.0	0.0	0	0	0	0	0	0.0	0.0
221	unrelated	h5l3	5	3	0.0	0.0	0.0		0.0	0.0	0.0	0	0	0	0	0	0.0	0.0
221	unrelated	h5l4	5	4	0.0	0.0	0.0		0.0	0.0	0.0	0	0	0	0	0	0.0	0.0
221	unrelated	h5l5	5	5	0.0	0.0	0.0		0.0	0.0	0.0	0	0	0	0	0	0.0	0.0
221	unrelated	h6l2	6	2	0.0	0.0	0.0		0.0	0.0	0.0	0	0	0	0	0	0.0	0.0
221	unrelated	h6l3	6	3	0.0	0.0	0.0		0.0	0.0	0.0	0	0	0	0	0	0.0	0.0
221	unrelated	h6l4	6	4	0.0	0.0	0.0		0.0	0.0	0.0	0	0	0	0	0	0.0	0.0
221	unrelated	h6l5	6	5	0.0	0.0	0.0		0.0	0.0	0.0	0	0	0	0	0	0.0	0.0
221	unrelated	h8l2	8	2	0.0	0.0	0.0		0.0	0.0	0.0	0	0	0	0	0	0.0	0.0
221	unrelated	h8l3	8	3	0.0	0.0	0.0		0.0	0.0	0.0	0	0	0	0	0	0.0	0.0
221	unrelated	h8l4	8	4	0.0	0.0	0.0		0.0	0.0	0.0	0	0	0	0	0	0.0	0.0
221	unrelated	h8l5	8	5	0.0	0.0	0.0		0.0	0.0	0.0	0	0	0	0	0	0.0	0.0
221	unrelated	h10l2	10	2	0.0	0.0	0.0		0.0	0.0	0.0	0	0	0	0	0	0.0	0.0
221	unrelated	h10l3	10	3	0.0	0.0	0.0		0.0	0.0	0.0	0	0	0	0	0	0.0	0.0
221	unrelated	h10l4	10	4	0.0	0.0	0.0		0.0	0.0	0.0	0	0	0	0	0	0.0	0.0
221	unrelated	h10l5	10	5	0.0	0.0	0.0		0.0	0.0	0.0	0	0	0	0	0	0.0	0.0
221	unrelated	h12l2	12	2	0.0	0.0	0.0		0.0	0.0	0.0	0	0	0	0	0	0.0	0.0
221	unrelated	h12l3	12	3	0.0	0.0	0.0		0.0	0.0	0.0	0	0	0	0	0	0.0	0.0
221	unrelated	h12l4	12	4	0.0	0.0	0.0		0.0	0.0	0.0	0	0	0	0	0	0.0	0.0
221	unrelated	h12l5	12	5	0.0	0.0	0.0		0.0	0.0	0.0	0	0	0	0	0	0.0	0.0
221	unrelated	h16l2	16	2	0.0	0.0	0.0		0.0	0.0	0.0	0	0	0	0	0	0.0	0.0
221	unrelated	h16l3	16	3	0.0	0.0	0.0		0.0	0.0	0.0	0	0	0	0	0	0.0	0.0
221	unrelated	h16l4	16	4	0.0	0.0	0.0		0.0	0.0	0.0	0	0	0	0	0	0.0	0.0
221	unrelated	h16l5	16	5	0.0	0.0	0.0		0.0	0.0	0.0	0	0	0	0	0	0.0	0.0
222	recombined	slow			773.7335131196934	3482.594126423649	1771.219531111859	70	15.916637564222134	15.916637564222134	12.381799933743448	0	0	0	16314	0	0.0	12.23104727686723
222	recombined	fast			768.197690444296	3459.9767088931976	1759.8547491005713	70	9.915007174404709	9.915007174404709	6.367572908980758	0	0	0	0	16314	0.0	7.790274461225636
222	recombined	witness			773.4546143019044	3482.0751803646826	1770.9975221026762	70	15.916637564222134	15.916637564222134	12.381799933743448	0	0	0	15940	374	0.0	12.20311742775607
222	recombined	h5l2	5	2	759.009945277005	3413.1483642966446	1735.827342238619	70	5.0	5.0	4.999273717041489	4234	0	4234	15940	374	0.0	5.0386530721327745
222	recombined	h5l3	5	3	759.009945277005	3413.1483642966446	1735.827342238619	70	5.0	5.0	4.999273717041489	4234	0	4234	15940	374	0.0	5.0386530721327745
222	recombined	h5l4	5	4	759.009945277005	3413.1483642966446	1735.827342238619	70	5.0	5.0	4.999273717041489	4234	0	4234	15940	374	0.0	5.0386530721327745
222	recombined	h5l5	5	5	759.009945277005	3413.1483642966446	1735.827342238619	70	5.0	5.0	4.999273717041489	4234	4234	0	15940	374	0.0	5.0386530721327745
222	recombined	h6l2	6	2	766.1856417620628	3447.321620833942	1753.258253203823	70	6.0	6.0	5.998569791659928	4231	0	4231	15940	374	0.0	6.010908473924019
222	recombined	h6l3	6	3	766.1856417620628	3447.321620833942	1753.258253203823	70	6.0	6.0	5.998569791659928	4231	0	4231	15940	374	0.0	6.010908473924019
222	recombined	h6l4	6	4	766.1856417620628	3447.321620833942	1753.258253203823	70	6.0	6.0	5.998569791659928	4231	0	4231	15940	374	0.0	6.010908473924019
222	recombined	h6l5	6	5	766.1856417620628	3447.321620833942	1753.258253203823	70	6.0	6.0	5.998569791659928	4231	0	4231	15940	374	0.0	6.010908473924019
222	recombined	h8l2	8	2	771.230402280259	3473.0258924181603	1766.5923034706054	70	8.0	8.0	7.982516309804233	4193	8	4185	15940	374	0.0	7.960323405835425
222	recombined	h8l3	8	3	771.6117050187648	3473.407195156666	1766.5923034706054	70	8.0	8.0	7.982516309804233	4189	2	4187	15940	374	0.0	7.960323405835425
222	recombined	h8l4	8	4	771.6580121694075	3473.453502307309	1766.5923034706054	70	8.0	8.0	7.982516309804233	4191	0	4191	15940	374	0.0	7.960323405835425
222	recombined	h8l5	8	5	771.6580121694075	3473.453502307309	1766.5923034706054	70	8.0	8.0	7.982516309804233	4191	0	4191	15940	374	0.0	7.960323405835425
222	recombined	h10l2	10	2	771.7240036147971	3477.4230003332427	1768.7749155039926	70	10.0	10.0	9.823374826939235	4044	32	4012	15940	374	0.0	9.828160222462884
222	recombined	h10l3	10	3	772.5568544877358	3479.406240225207	1769.794880504084	70	10.0	10.0	9.823374826939235	4040	16	4024	15940	374	0.0	9.828160222462884
222	recombined	h10l4	10	4	772.9323737740963	3479.9464817866724	1769.959602779187	70	10.0	10.0	9.823374826939235	4036	6	4030	15940	374	0.0	9.828160222462884
222	recombined	h10l5	10	5	773.0268506804307	3480.040958693007	1769.959602779187	70	10.0	10.0	9.823374826939235	4032	2	4030	15940	374	0.0	9.828160222462884
222	recombined	h12l2	12	2	771.6060403429452	3476.420449988008	1767.6327052159336	70	12.0	12.0	11.319752702045133	3253	40	3213	15940	374	0.0	11.405443638994711
222	recombined	h12l3	12	3	772.6009121202829	3479.5924355396137	1769.581373178939	70	12.0	12.0	11.319752702045133	3261	37	3224	15940	374	0.0	11.405443638994711
222	recombined	h12l4	12	4	773.0999822607395	3481.1702995349624	1770.5737306695614	70	12.0	12.0	11.319752702045133	3259	25	3234	15940	374	0.0	11.405443638994711
