world	regime	comparison	direction	t	truth	matchedL	cold_log2	candidate_log2	new_log2	other_log2	new_minus_other_bits	w_before	w_after	new_odds_before	new_odds_after	new_cap_after
211	moved_mid	witness	harm	14783	164	10	-4.678003183440484	-1.0843173782873705	-2.9866340529030033	-1.3207295805368002	-1.665904472366203	2.6259149033696914	6.137540867792501	-1.9877553190972959	1.6058414654795157	10.0
212	switched	ceiling	help	8232	197	2	-4.0972917556073565	-2.6972464954389244	-2.9606731742268395	-3.909707087990792	0.9490339137639525	2.747273541810937	4.061466503797777	1.4443690707009542	2.8442342194791705	10.0
212	switched	ceiling	harm	8213	137	2	-2.524032344685505	-4.78774646731335	-4.295442296475317	-2.8015852944960082	-1.4938570019793085	4.573762526788826	2.1671183251988304	3.0616542109534173	0.7978798013568422	10.0
212	switched	witness	help	8236	225	3	-3.763801167882865	-6.484936333670201	-5.056492110619674	-5.926885683011777	0.8703935723921035	2.296516597626192	-0.4963847118369626	1.2059867329500098	-1.5151781485151838	10.0
212	switched	witness	harm	8468	189	2	-5.221548297757609	-3.249335689710187	-5.08455182024703	-4.721015051725642	-0.3635367685213877	0.8143687198076323	2.7611323053610657	-4.825296763809939	-2.853109216413612	10.0
212	moved_mid	ceiling	help	13341	217	2	-4.537826858660891	-0.5972039231390961	-0.9781426923807228	-3.336880826576989	2.3587381341962663	5.221764404488966	8.99920720237048	1.5986262984573676	5.538203878161478	10.0
212	moved_mid	ceiling	harm	15980	54	2	-7.342757132200288	-14.390393262067759	-13.096281683665266	-9.269962550029815	-3.826319133635451	7.491352771586696	0.2096118676071404	6.482344214526195	-0.5653288065346079	10.0
212	moved_mid	witness	help	9608	166	2	-5.754319035492379	-13.428082331180548	-9.060937611438632	-11.697967495603393	2.637029884164761	9.038789783285164	1.0825643068693345	3.2245639196764255	-4.449222397707106	10.0
212	moved_mid	witness	harm	16276	13	3	-4.8504651380639565	-1.5988443269540125	-3.4153656433394888	-2.371330106920203	-1.044035536419286	-3.2686849557338626	0.08508226024276462	-2.0009120689230184	1.2459505099759063	10.0
213	switched	ceiling	help	8409	186	2	-5.609303785303768	-1.5776345569976367	-2.277973665313252	-4.757574305517678	2.479600640204426	-1.859718584244833	2.23006684981895	0.5273713090075848	4.524796416945033	10.0
213	switched	ceiling	harm	8192	81	6	-1.9530922231770393	-6.366445152874522	-5.636147419497798	-2.8800254139261408	-2.756122005571657	3.2193175350044134	-1.2946390676619568	4.898107795931697	0.48470204767608227	5.0
213	switched	witness	help	8281	183	2	-1.4161476914774411	-4.930421977082127	-2.01437191986166	-3.69922659952269	1.6848546796610302	3.447712095413781	-0.1743031931725857	-0.7555281493800652	-4.26982559011642	10.0
213	switched	witness	harm	8280	198	3	-5.2735141520910425	-3.193979367858721	-4.791577054822232	-3.6968371903340103	-1.094739864488222	1.4123120631550548	3.447712095413781	-2.8350278799962743	-0.7555281493800652	10.0
213	moved_mid	ceiling	help	13836	133	2	-5.8992882951145935	-1.8066552522089458	-3.206930474381185	-5.526293458514446	2.319362984133261	3.4130025548392102	7.398979267906133	-0.9557553085013679	3.1366620962039407	10.0
