world	regime	mode	early4096_bits	whole16384_bits	tail8192_bits	admission_next_t	max_odds_before	max_odds_after	clips	low_clips	high_clips	slow_count	fast_count	minimum_prefix_bits	maximum_drawdown_bits
210	recombined	witnessed_ceiling	513.665920984023	2999.8542480864126	1775.6892008171062	107	10.0	10.0	3119	3	3116	15441	836	0.0	9.962155297157267
210	switched	slow	514.5522732585861	1241.9704835521438	16.14189388149352	107	15.798383616740816	15.798383616740816	0	0	0	16277	0	0.0	13.587487378653009
210	switched	fast	510.1372500952086	1236.020977067505	21.40368248450406	107	9.796590088786514	9.796590088786514	0	0	0	0	16277	0.0	7.85951487330027
210	switched	adaptive	514.1457192605156	1241.5673690139445	16.145333341364534	107	15.798383616740816	15.798383616740816	0	0	0	8500	7777	0.0	13.587487378653009
210	switched	witness	513.8723720422622	1242.3337096698751	17.459758738722343	107	15.797579475756145	15.797579475756145	0	0	0	8246	8031	0.0	13.51691368833076
210	switched	ceiling	505.4232368456154	1223.2151228194198	22.195869676104756	107	5.0	5.0	1410	0	0	8246	8031	0.0	5.043151162121433
210	switched	witnessed_ceiling	513.665920984023	1242.315543903689	18.150496634386187	107	10.0	10.0	1290	3	1287	8246	8031	0.0	9.962155297157267
210	moved_mid	slow	514.5522732585861	1518.439098858225	292.6105091875774	107	15.798383616740816	15.798383616740816	0	0	0	16277	0	0.0	13.587487378653009
210	moved_mid	fast	510.1372500952086	1502.290841980222	287.6735473972237	107	9.796590088786514	9.796590088786514	0	0	0	0	16277	0.0	7.85951487330027
210	moved_mid	adaptive	514.1457192605156	1514.8855941822474	289.46355850967086	107	15.798383616740816	15.798383616740816	0	0	0	13611	2666	0.0	13.587487378653009
210	moved_mid	witness	513.8723720422622	1514.9984024235862	290.1244514924318	107	15.797579475756145	15.797579475756145	0	0	0	12991	3286	0.0	13.51691368833076
210	moved_mid	ceiling	505.4232368456154	1491.6113896639424	290.59213652063005	107	5.0	5.0	1747	0	0	12991	3286	0.0	5.043172774899176
210	moved_mid	witnessed_ceiling	513.665920984023	1515.9423781237042	291.77733085440065	107	10.0	10.0	1596	5	1591	12991	3286	0.0	9.962155297157267
210	unrelated	slow	0.0	0.0	0.0		0.0	0.0	0	0	0	0	0	0.0	0.0
210	unrelated	fast	0.0	0.0	0.0		0.0	0.0	0	0	0	0	0	0.0	0.0
210	unrelated	adaptive	0.0	0.0	0.0		0.0	0.0	0	0	0	0	0	0.0	0.0
210	unrelated	witness	0.0	0.0	0.0		0.0	0.0	0	0	0	0	0	0.0	0.0
210	unrelated	ceiling	0.0	0.0	0.0		0.0	0.0	0	0	0	0	0	0.0	0.0
210	unrelated	witnessed_ceiling	0.0	0.0	0.0		0.0	0.0	0	0	0	0	0	0.0	0.0
211	recombined	slow	209.63813272250457	1918.7961336438325	1295.8687759100462	107	15.878883623092285	15.878883623092285	0	0	0	16277	0	0.0	12.529245153987205
211	recombined	fast	204.94448574903777	1896.7167712087385	1285.003195669607	107	9.876178802584397	9.876178802584397	0	0	0	0	16277	0.0	7.62670041254205
211	recombined	adaptive	208.63076684332674	1917.7887677646545	1295.8687759100462	107	15.878883623092285	15.878883623092285	0	0	0	15551	726	0.0	12.529245153987205
211	recombined	witness	208.09956931933388	1916.097336625929	1295.3997818781409	107	15.87770504384223	15.87770504384223	0	0	0	14332	1945	0.0	12.203984941249473
211	recombined	ceiling	205.2675349551827	1879.617009304838	1271.2087762691906	107	5.0	5.0	2452	0	0	14332	1945	0.0	5.039626500152423
211	recombined	witnessed_ceiling	208.0482836477845	1915.0351801136117	1294.6976602281661	107	10.0	10.0	2268	3	2265	14332	1945	0.0	9.856155813953166
211	switched	slow	209.63813272250457	629.7602760970796	6.832918363281433	107	15.832439178217186	15.832439178217186	0	0	0	16277	0	0.0	12.529245153987205
211	switched	fast	204.94448574903777	624.1638930232647	12.450317484126138	107	9.83078751580468	9.83078751580468	0	0	0	0	16277	0.0	7.565768705439808
211	switched	adaptive	208.63076684332674	628.7529548081868	6.8329629535648415	107	15.832439178217186	15.832439178217186	0	0	0	7740	8537	0.0	12.529245153987205
211	switched	witness	208.09956931933388	627.7097089106442	7.012154162846368	107	15.832432708712203	15.832432708712203	0	0	0	7072	9205	0.0	12.216733279959271
211	switched	ceiling	205.2675349551827	622.3261979676375	13.91796493198936	107	5.0	5.0	908	0	0	7072	9205	0.0	5.039626500152423
211	switched	witnessed_ceiling	208.0482836477845	629.7375555743539	9.40003568890722	107	10.0	10.0	814	3	811	7072	9205	0.0	9.856155813953166
211	moved_mid	slow	209.63813272250457	751.4844838662575	128.55712613245652	107	15.832439178217186	15.832439178217186	0	0	0	16277	0	0.0	14.192687498917962
211	moved_mid	fast	204.94448574903777	735.2915914229694	123.5780158838297	107	9.83078751580468	9.83078751580468	0	0	0	0	16277	0.0	8.29208370317508
211	moved_mid	adaptive	208.63076684332674	746.3242757566237	124.40428390199845	107	15.832439178217186	15.832439178217186	0	0	0	12479	3798	0.0	14.192652392303444
211	moved_mid	witness	208.09956931933388	745.3952391470557	124.69768439925511	107	15.832432708712203	15.832432708712203	0	0	0	11667	4610	0.0	14.188012771361628
211	moved_mid	ceiling	205.2675349551827	738.0232926000693	129.61505956442085	107	5.0	5.0	1051	0	0	11667	4610	0.0	5.043022906203305
211	moved_mid	witnessed_ceiling	208.0482836477845	747.4809106512392	127.14339076579122	107	10.0	10.0	940	3	937	11667	4610	0.0	9.958163177476308
211	unrelated	slow	0.0	0.0	0.0		0.0	0.0	0	0	0	0	0	0.0	0.0
211	unrelated	fast	0.0	0.0	0.0		0.0	0.0	0	0	0	0	0	0.0	0.0
211	unrelated	adaptive	0.0	0.0	0.0		0.0	0.0	0	0	0	0	0	0.0	0.0
211	unrelated	witness	0.0	0.0	0.0		0.0	0.0	0	0	0	0	0	0.0	0.0
211	unrelated	ceiling	0.0	0.0	0.0		0.0	0.0	0	0	0	0	0	0.0	0.0
211	unrelated	witnessed_ceiling	0.0	0.0	0.0		0.0	0.0	0	0	0	0	0	0.0	0.0
212	recombined	slow	588.9886350929678	2789.175857375038	1516.359848061278	177	15.914317347529991	15.914317347529991	0	0	0	16207	0	0.0	10.243793137683042
